Month,cost of patent: (United States)
2004-01,0
2004-02,0
2004-03,35
2004-04,27
2004-05,25
2004-06,50
2004-07,0
2004-08,23
2004-09,22
2004-10,45
2004-11,47
2004-12,63
2005-01,0
2005-02,58
2005-03,50
2005-04,94
2005-05,33
2005-06,35
2005-07,0
2005-08,16
2005-09,0
2005-10,69
2005-11,43
2005-12,41
2006-01,12
2006-02,100
2006-03,22
2006-04,47
2006-05,22
2006-06,46
2006-07,45
2006-08,21
2006-09,21
2006-10,19
2006-11,9
2006-12,0
2007-01,34
2007-02,36
2007-03,32
2007-04,55
2007-05,15
2007-06,31
2007-07,37
2007-08,42
2007-09,7
2007-10,25
2007-11,25
2007-12,26
2008-01,52
2008-02,42
2008-03,46
2008-04,51
2008-05,29
2008-06,49
2008-07,41
2008-08,6
2008-09,38
2008-10,19
2008-11,32
2008-12,58
2009-01,35
2009-02,48
2009-03,19
2009-04,49
2009-05,53
2009-06,20
2009-07,39
2009-08,25
2009-09,42
2009-10,26
2009-11,18
2009-12,68
2010-01,50
2010-02,57
2010-03,56
2010-04,50
2010-05,39
2010-06,84
2010-07,30
2010-08,29
2010-09,42
2010-10,27
2010-11,48
2010-12,30
2011-01,54
2011-02,74
2011-03,28
2011-04,32
2011-05,31
2011-06,62
2011-07,39
2011-08,51
2011-09,46
2011-10,67
2011-11,68
2011-12,33
2012-01,50
2012-02,64
2012-03,51
2012-04,89
2012-05,42
2012-06,36
2012-07,33
2012-08,34
2012-09,40
2012-10,49
2012-11,56
2012-12,52
2013-01,53
2013-02,60
2013-03,55
2013-04,72
2013-05,55
2013-06,45
2013-07,31
2013-08,37
2013-09,46
2013-10,66
2013-11,73
2013-12,50
2014-01,43
2014-02,62
2014-03,37
2014-04,62
2014-05,55
2014-06,66
2014-07,49
2014-08,45
2014-09,67
2014-10,50
2014-11,67
2014-12,46
2015-01,48
2015-02,58
2015-03,65
2015-04,99
2015-05,64
2015-06,45
2015-07,35
2015-08,44
2015-09,54
2015-10,47
2015-11,68
2015-12,51
2016-01,39
2016-02,43
2016-03,47
2016-04,84
2016-05,49
2016-06,46
2016-07,50
2016-08,37
2016-09,41
2016-10,54
2016-11,65
2016-12,68
2017-01,46
2017-02,48
2017-03,67
2017-04,94
2017-05,56
2017-06,53
2017-07,33
2017-08,30
2017-09,42
2017-10,59
2017-11,88
2017-12,42
2018-01,36
2018-02,69
2018-03,54
2018-04,88
2018-05,46
2018-06,39
