month,trends
1/1/2004,0
2/1/2004,0
3/1/2004,0
4/1/2004,0
5/1/2004,0
6/1/2004,0
7/1/2004,0
8/1/2004,0
9/1/2004,0
10/1/2004,0
11/1/2004,0
12/1/2004,0
1/1/2005,0
2/1/2005,0
3/1/2005,0
4/1/2005,0
5/1/2005,0
6/1/2005,0
7/1/2005,0
8/1/2005,0
9/1/2005,0
10/1/2005,0
11/1/2005,0
12/1/2005,84
1/1/2006,0
2/1/2006,0
3/1/2006,68
4/1/2006,0
5/1/2006,0
6/1/2006,0
7/1/2006,0
8/1/2006,0
9/1/2006,64
10/1/2006,0
11/1/2006,0
12/1/2006,58
1/1/2007,52
2/1/2007,0
3/1/2007,99
4/1/2007,100
5/1/2007,0
6/1/2007,0
7/1/2007,0
8/1/2007,43
9/1/2007,43
10/1/2007,0
11/1/2007,0
12/1/2007,0
1/1/2008,36
2/1/2008,0
3/1/2008,36
4/1/2008,0
5/1/2008,0
6/1/2008,0
7/1/2008,0
8/1/2008,0
9/1/2008,0
10/1/2008,0
11/1/2008,33
12/1/2008,33
1/1/2009,0
2/1/2009,0
3/1/2009,59
4/1/2009,30
5/1/2009,0
6/1/2009,0
7/1/2009,31
8/1/2009,29
9/1/2009,29
10/1/2009,27
11/1/2009,0
12/1/2009,0
1/1/2010,0
2/1/2010,27
3/1/2010,0
4/1/2010,0
5/1/2010,0
6/1/2010,28
7/1/2010,23
8/1/2010,22
9/1/2010,0
10/1/2010,42
11/1/2010,21
12/1/2010,0
1/1/2011,33
2/1/2011,18
3/1/2011,47
4/1/2011,0
5/1/2011,16
6/1/2011,0
7/1/2011,0
8/1/2011,15
9/1/2011,15
10/1/2011,0
11/1/2011,43
12/1/2011,28
1/1/2012,0
2/1/2012,53
3/1/2012,51
4/1/2012,26
5/1/2012,0
6/1/2012,13
7/1/2012,25
8/1/2012,50
9/1/2012,12
10/1/2012,11
11/1/2012,46
12/1/2012,11
1/1/2013,0
2/1/2013,0
3/1/2013,21
4/1/2013,21
5/1/2013,42
6/1/2013,11
7/1/2013,22
8/1/2013,21
9/1/2013,11
10/1/2013,30
11/1/2013,11
12/1/2013,10
1/1/2014,29
2/1/2014,43
3/1/2014,10
4/1/2014,0
5/1/2014,11
6/1/2014,24
7/1/2014,12
8/1/2014,11
9/1/2014,44
10/1/2014,21
11/1/2014,22
12/1/2014,11
1/1/2015,11
2/1/2015,11
3/1/2015,32
4/1/2015,22
5/1/2015,0
6/1/2015,0
7/1/2015,23
8/1/2015,0
9/1/2015,11
10/1/2015,0
11/1/2015,11
12/1/2015,31
1/1/2016,9
2/1/2016,9
3/1/2016,0
4/1/2016,9
5/1/2016,0
6/1/2016,18
7/1/2016,0
8/1/2016,18
9/1/2016,0
10/1/2016,17
11/1/2016,17
12/1/2016,8
1/1/2017,8
2/1/2017,8
3/1/2017,22
4/1/2017,24
5/1/2017,16
6/1/2017,17
7/1/2017,9
8/1/2017,16
9/1/2017,8
10/1/2017,7
11/1/2017,0
12/1/2017,24
1/1/2018,15
2/1/2018,0
3/1/2018,15
4/1/2018,15
5/1/2018,23
6/1/2018,8
